Plant Name,Distribution Map URL
Casearia zeylanica (GAERTN.) RHW.,http://envis.frlht.org/distrimaps/geomaps/459.jpg
Cassia absus L.,http://envis.frlht.org/distrimaps/geomaps/460.jpg
Cassia auriculata L.,http://envis.frlht.org/distrimaps/geomaps/463.jpg
Cassia fistula L.,http://envis.frlht.org/distrimaps/geomaps/464.jpg
Cassia occidentalis L.,http://envis.frlht.org/distrimaps/geomaps/468.jpg
Cassia sophera L.,http://envis.frlht.org/distrimaps/geomaps/471.jpg
Cassia tora L.,http://envis.frlht.org/distrimaps/geomaps/472.jpg
Cassytha filiformis L.,http://envis.frlht.org/distrimaps/geomaps/475.jpg
Catunaregum spinosa (THUNB.) TIRVENGADUM,http://envis.frlht.org/distrimaps/geomaps/477.jpg
Cayratia carnosa (WALL.) GAGNEP. EX WIGHT,http://envis.frlht.org/distrimaps/geomaps/481.jpg
Cayratia pedata JUSS. EX GAGNEPAIN,http://envis.frlht.org/distrimaps/geomaps/3203.jpg
Cayratia trifolia (L.) DOMIN,http://envis.frlht.org/distrimaps/geomaps/481.jpg
Cedrela toona ROXB.,http://envis.frlht.org/distrimaps/geomaps/484.jpg
Cedrus deodara (ROXB.) LOUD.,http://envis.frlht.org/distrimaps/geomaps/485.jpg
Cedrus libani BARREL Var. deodara HOOK.,http://envis.frlht.org/distrimaps/geomaps/485.jpg
Celastrus paniculatus WILLD.,http://envis.frlht.org/distrimaps/geomaps/490.jpg
Centella asiatica (L.) URBAN,http://envis.frlht.org/distrimaps/geomaps/497.jpg
Centratherum anthelminticum (L.) KUNTZE,http://envis.frlht.org/distrimaps/geomaps/502.jpg
Ceropegia tuberosa ROXB.,http://envis.frlht.org/distrimaps/geomaps/513.jpg
Chavica roxburghii MIQ.,http://envis.frlht.org/distrimaps/geomaps/1674.jpg
Chlorophytum arundinaceum BAKER,http://envis.frlht.org/distrimaps/geomaps/517.jpg
Chlorophytum tuberosum BAKER,http://envis.frlht.org/distrimaps/geomaps/518.jpg
Chloroxylon dupada BUCH.,http://envis.frlht.org/distrimaps/geomaps/348.jpg
Chloroxylon swietenia DC.,http://envis.frlht.org/distrimaps/geomaps/519.jpg
Chonemorpha fragrans (MOON) ALSTON,http://envis.frlht.org/distrimaps/geomaps/514.jpg
Chonemorpha macrophylla (ROXB.) G.DON,http://envis.frlht.org/distrimaps/geomaps/514.jpg
Chrozophora plicata A.JUSS.,http://envis.frlht.org/distrimaps/geomaps/521.jpg
Chrozophora prostrata DALZ .,http://envis.frlht.org/distrimaps/geomaps/521.jpg
Cichorium intybus L.,http://envis.frlht.org/distrimaps/geomaps/532.jpg
Cinnamomum iners REINW.,http://envis.frlht.org/distrimaps/geomaps/539.jpg
Cinnamomum macrocarpum HOOK.,http://envis.frlht.org/distrimaps/geomaps/541.jpg
Cinnamomum tamala NEES & EBERM.,http://envis.frlht.org/distrimaps/geomaps/542.jpg
Cinnamomum wightii C.F.W.MEISSN,http://envis.frlht.org/distrimaps/geomaps/543.jpg
Cissampelos pareira L.,http://envis.frlht.org/distrimaps/geomaps/546.jpg
Cissus pedata LAM.,http://envis.frlht.org/distrimaps/geomaps/3203.jpg
Cissus quadrangularis L.,http://envis.frlht.org/distrimaps/geomaps/547.jpg
Citrullus colocynthis (L.) SCHRADER,http://envis.frlht.org/distrimaps/geomaps/551.jpg
Citrus medica L.,http://envis.frlht.org/distrimaps/geomaps/567.jpg
Cleistanthus collinus (ROXB.) BENTH.  & HOOK.,http://envis.frlht.org/distrimaps/geomaps/573.jpg
Clematis gauriana ROXB.,http://envis.frlht.org/distrimaps/geomaps/575.jpg
Clematis triloba HEYNE,http://envis.frlht.org/distrimaps/geomaps/576.jpg
Cleome felina L. F.,http://envis.frlht.org/distrimaps/geomaps/577.jpg
Cleome gynandra L.,http://envis.frlht.org/distrimaps/geomaps/578.jpg
Cleome icosandra L.,http://envis.frlht.org/distrimaps/geomaps/579.jpg
Cleome pentaphylla L.,http://envis.frlht.org/distrimaps/geomaps/578.jpg
Cleome viscosa L.,http://envis.frlht.org/distrimaps/geomaps/579.jpg
Clerodendrum indicum (L.) KUNTZE,http://envis.frlht.org/distrimaps/geomaps/581.jpg
Clerodendrum multiflorum (Burm.f.)Kuntze,http://envis.frlht.org/distrimaps/geomaps/584.jpg
Clerodendrum phlomides L.F.,http://envis.frlht.org/distrimaps/geomaps/584.jpg
Clerodendrum serratum (L.) MOON,http://envis.frlht.org/distrimaps/geomaps/585.jpg
Clerodendrum siphonanthus R.BR.,http://envis.frlht.org/distrimaps/geomaps/581.jpg
Cocculus cordifolius (WILLD.) DC.,http://envis.frlht.org/distrimaps/geomaps/2086.jpg
Cocculus hirsutus (L.) DIELS,http://envis.frlht.org/distrimaps/geomaps/596.jpg
Cocculus suberosus DC.,http://envis.frlht.org/distrimaps/geomaps/174.jpg
Cocculus villosus DC.,http://envis.frlht.org/distrimaps/geomaps/596.jpg
Cochlospermum gossypium DC.,http://envis.frlht.org/distrimaps/geomaps/601.jpg
Cochlospermum religiosum (L.) ALSTON,http://envis.frlht.org/distrimaps/geomaps/601.jpg
Coix lachryma L.,http://envis.frlht.org/distrimaps/geomaps/603.jpg
Coix lacryma-jobi L.,http://envis.frlht.org/distrimaps/geomaps/603.jpg
Colchicum luteum BAKER,http://envis.frlht.org/distrimaps/geomaps/605.jpg
Commiphora mukul (HOOK. EX. STOCKS) ENGL.,http://envis.frlht.org/distrimaps/geomaps/625.jpg
Commiphora wightii (A.) BHANDARI,http://envis.frlht.org/distrimaps/geomaps/625.jpg
Conocarpus latifolia ROXB. EX. DC.,http://envis.frlht.org/distrimaps/geomaps/194.jpg
Convolvulus gemellus BURM.F.,http://envis.frlht.org/distrimaps/geomaps/1203.jpg
Convolvulus microphyllus SIEB.EX SPRENG.,http://envis.frlht.org/distrimaps/geomaps/5882.jpg
Convolvulus nil L.,http://envis.frlht.org/distrimaps/geomaps/1202.jpg
Convolvulus paniculatus L.,http://envis.frlht.org/distrimaps/geomaps/1198.jpg
Convolvulus pluricaulis CHOIS.,http://envis.frlht.org/distrimaps/geomaps/5882.jpg
Convolvulus prostratus FORSSK.,http://envis.frlht.org/distrimaps/geomaps/5882.jpg
Convolvulus speciosus L.,http://envis.frlht.org/distrimaps/geomaps/219.jpg
Convolvulus turpethum L.,http://envis.frlht.org/distrimaps/geomaps/1553.jpg
Conyza cinerea L.,http://envis.frlht.org/distrimaps/geomaps/2175.jpg
Coptis teeta WALL.,http://envis.frlht.org/distrimaps/geomaps/634.jpg
Corallocarpus epigaea HOOK.,http://envis.frlht.org/distrimaps/geomaps/637.jpg
Corallocarpus epigaeus BENTH.,http://envis.frlht.org/distrimaps/geomaps/637.jpg
Corchorus depressus STOCKS,http://envis.frlht.org/distrimaps/geomaps/642.jpg
Corchorus trilocularis L.,http://envis.frlht.org/distrimaps/geomaps/644.jpg
