Botanical Name,Family,Systems,Synonym,Image URL,Detail URL
Ailanthus triphysa (DENNST.) ALSTON,SIMAROUBACEAE,"Ayurveda, Siddha, Folk",Ailanthus malabarica DC.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3f075267567d9f08a94830469ee35d1e/xclkon/5058dc3d282dfffed8a318c4edc27810
Ailanthus triphysa (DENNST.) ALSTON,SIMAROUBACEAE,"Ayurveda, Siddha, Folk",Ailanthus malabarica DC.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3f075267567d9f08a94830469ee35d1e
,SAPOTACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/13abc384d83346dcb2ce617d255f4e77
,ALANGIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d5ef82028fbfed914facaca3462e8a13
Alangium salvifolium (L.F.) WANG.,ALANGIACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Alangium decapetalum LAM. Alangium hexapetalum LAM. Alangium lamarckii THWAITES,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2ed95f3d53b344394870ef34c7d83b4d/xclkon/e4b4b96b7f019152df0e413a883759ac
Alangium salvifolium (L.F.) WANG.,ALANGIACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Alangium decapetalum LAM. Alangium hexapetalum LAM. Alangium lamarckii THWAITES,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2ed95f3d53b344394870ef34c7d83b4d/xclkon/a8fce5255cf2a1318b5f27ad972944c5
Alangium salvifolium (L.F.) WANG.,ALANGIACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Alangium decapetalum LAM. Alangium hexapetalum LAM. Alangium lamarckii THWAITES,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2ed95f3d53b344394870ef34c7d83b4d/xclkon/dad0ab4fb9f3a1b91311e0c861080cf5
Alangium salvifolium (L.F.) WANG.,ALANGIACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Alangium decapetalum LAM. Alangium hexapetalum LAM. Alangium lamarckii THWAITES,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2ed95f3d53b344394870ef34c7d83b4d
Albizia amara (ROXB.) BOIVIN,MIMOSACEAE,"Ayurveda, Siddha, Folk",Mimosa amara ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/083045b34fb297d9f9c7ec281604a98f
Albizia chinensis (OSBECK) MERR.,MIMOSACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7c7f95a4db1900e68352c84fba9ba949
Albizia lebbeck (L.) BENTH.,MIMOSACEAE,"Ayurveda, Siddha, Unani, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/68f6147b05f7b71efbfc954bc0538fe2
Albizia lucidior (STEND.) NIELSON,MIMOSACEAE,"Ayurveda, Folk",Albizia lucida BENTH.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2307977fec15df226c1fcd5b620614c3/xclkon/f7bc589e23f2aa34c083abb5e353a5c6
Albizia lucidior (STEND.) NIELSON,MIMOSACEAE,"Ayurveda, Folk",Albizia lucida BENTH.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2307977fec15df226c1fcd5b620614c3
Albizia chinensis (OSBECK) MERR.,MIMOSACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7c7f95a4db1900e68352c84fba9ba949/xclkon/e559f48aebb824a83b84de8c267d4853
Albizia odoratissima (L.F.)BENTH.,MIMOSACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3a6f0ff1dc8b18dbef9c68910665d673
Albizia procera (ROXB.) BENTH.,MIMOSACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/4858771a4028aa40e8777e204af50505
,SCROPHULARIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/db22ae88e6e2c9300a9a52099055c8ae
Aleurites moluccana (L.) WILLD.,EUPHORBIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9833483b0cc34daa3053079e4de12831
